CD_MUN,NM_MUN,eligible_area_ha_mapbiomas,urgency_5yr_index,reversal_risk,cost_per_ha,biodiversity_priority_index,Extinction risk score norm,carbon index norm
1501782,Breu Branco,230526.43249326415,0.0725824913070641,0.2,2065.7295375722542,0.0697028935794437,0.18627450980392163,0.5449671892946089
1501758,Brejo Grande do Araguaia,98265.69442902003,0.0116720320057728,0.0,2063.362485549133,0.0002185333812211,0.0,0.21486007400089885
1500404,Alenquer,198117.8572479411,0.0755425918724217,0.5,2671.6948554913297,0.1667365614501983,0.014705882352941176,0.5197675781686498
1505205,Oeiras do Pará,26920.755340462747,0.0120576396516851,0.0,2127.9304046242773,0.0012238386152937,0.0,0.5711829022974658
1507003,Santo Antônio do Tauá,20980.472411883544,0.0020840597011344,0.0,2050.212196531792,0.012575371849181,0.0,0.5287773861157982
1508100,Tucuruí,72964.27244170826,0.0433395779703266,0.1,2071.778670520231,0.3141306244266287,0.44117647058823534,0.504759102014909
1502202,Capanema,36342.15349109322,0.0046985180124118,0.0,2051.527225433526,0.0226615644622844,0.0,0.5906496413803501
1508126,Ulianópolis,269138.3311088605,0.0942426600023916,0.4,2076.7757803468207,0.0265717881970934,0.0,0.5144850372685952
1504802,Monte Alegre,262556.8975561041,0.0732180632224314,0.6,2366.6081502890174,0.31114131069838,0.044117647058823525,0.4822334467094161
1503507,Irituia,89092.48653966642,0.004830546686626,0.0,2064.4145086705203,0.0102173518096222,0.009803921568627453,0.5950043657754875
1508159,Uruará,348486.6238851806,0.2261568711792296,1.0,2119.6457225433523,0.0526953676217632,0.08823529411764706,0.49425628822945156
1507904,Soure,3369.99311111546,0.0052048022951092,0.0,2168.038786127167,0.1261530008480265,0.07843137254901962,0.5509773198787653
1507953,Tailândia,223117.8747002876,0.0965825679206848,0.5,2087.1645086705203,0.0767277133440899,0.02450980392156863,0.5583704724320462
1506609,Santa Maria do Pará,33006.08502335125,0.0017171564233027,0.0,2050.4752023121387,0.0122105995503183,0.0,0.6418911788952087
1507961,Terra Alta,11300.938918118136,0.0013274583438951,0.0,2049.686184971098,6.230136207589097e-06,0.0,0.6547406598466251
1500909,Augusto Corrêa,22044.9369392891,0.0088846331446695,0.0,2070.8581502890174,0.0507056073290818,0.0,0.48694893340164774
1505304,Oriximiná,88645.02605956675,0.0407331586260094,0.0,2569.3856069364165,0.7646436921161541,0.3872549019607843,0.5487800039012641
1502707,Conceição do Araguaia,377601.9519992525,0.075425235881191,0.3,2076.2497687861273,0.2063622236709887,0.09803921568627451,0.5269612802040198
1504000,Limoeiro do Ajuru,155.53576171363102,0.0001105993265666,0.0,2157.518554913295,0.00106462150155,0.02450980392156863,0.6546551524545378
1507979,Terra Santa,27291.4471934947,0.0165040362433254,0.0,2277.4491907514453,0.0209440257864751,0.0,0.5616352384036227
1506203,Salinópolis,5058.676171626093,0.0003683391001908,0.0,2064.4145086705203,0.0388876790762673,0.009803921568627453,0.607262247554444
1500958,Aurora do Pará,115391.3778198757,0.0146273882153416,0.0,2070.9896531791906,0.0075916735246787,0.0,0.41458239099405353
1501402,Belém,18564.473526423582,0.0006582837238802,0.0,2047.05612716763,0.8394371619852707,0.3970588235294118,0.5455746588366317
1502756,Concórdia do Pará,30976.91337496794,0.0033855470135093,0.0,2065.7295375722542,0.0015322226093523,0.0,0.6331846226035343
1501451,Belterra,64015.54635593768,0.0280066644690745,0.0,2084.928959537572,0.6703930023301642,0.5098039215686274,0.7800885242480813
1502764,Cumaru do Norte,700580.6780390473,0.1190763785645647,0.6,2160.6746242774566,0.018841070101683,0.0,0.4551297435107079
1502772,Curionópolis,181732.23256339735,0.0139827494565976,0.0,2056.7873410404623,0.0964079979796693,0.03921568627450981,0.4723510465216065
1500131,Abel Figueiredo,47255.05283616232,0.0153716519362928,0.0,2061.2584393063585,6.6436841472339384e-06,0.0,0.3747841784326346
1500107,Abaetetuba,15137.996224084178,0.0062413714070486,0.0,2052.84225433526,0.1003545872353598,0.10294117647058827,0.5605408151876223
1505809,Portel,262882.65511907154,0.3576171168297891,1.0,2275.3451445086703,0.4292961347695903,0.14705882352941177,0.568313876777952
1503200,Igarapé-Açu,47735.22616247184,0.0035705858538729,0.0,2050.4752023121387,0.020426075085108,0.009803921568627453,0.5719232367968482
1504505,Melgaço,3950.437304475816,0.0060091202182459,0.0,2338.203526011561,0.3639155455036053,0.0931372549019608,0.5927360477217912
1507607,São Miguel do Guamá,64446.77609874555,0.0052071854159355,0.0,2055.735317919075,0.0169054455789627,0.0,0.47968167696041336
1506302,Salvaterra,3162.3269614624624,0.004588585575076,0.0,2085.454971098266,0.0786902068317019,0.04901960784313726,0.5385217386488435
1506351,Santa Bárbara do Pará,6288.172845936405,0.0006003741562899,0.0,2047.5821387283236,0.1927524991114174,0.03921568627450981,0.43549890121074497
1501501,Benevides,7387.278810059177,0.0008532546136174,0.0,2042.8480346820809,0.0487366544734096,0.053921568627450976,0.5835930798159498
1502806,Curralinho,1072.158235811486,0.0018452225965569,0.0,2219.5879190751443,0.0105959420050587,0.0,0.6716907374486094
1501576,Bom Jesus do Tocantins,161286.21592448623,0.0429140073409251,0.0,2064.4145086705203,0.0400209795351655,0.02450980392156863,0.5990505490141617
1505031,Novo Progresso,714699.001106021,0.4131455112893786,1.0,2206.1746242774566,0.5647648419287227,0.29411764705882354,0.4794389207058957
1502855,Curuá,24018.77267616643,0.0179026491503639,0.0,2202.2295375722542,0.0269256768940691,0.0,0.5211119686490072
