,Abaetetuba,Abel Figueiredo,Acará,Afuá,Água Azul do Norte,Alenquer,Almeirim,Altamira,Anajás,Ananindeua,Anapu,Augusto Corrêa,Aurora do Pará,Aveiro,Bagre,Baião,Bannach,Barcarena,Belém,Belterra,Benevides,Bom Jesus do Tocantins,Bonito,Bragança,Brasil Novo,Brejo Grande do Araguaia,Breu Branco,Breves,Bujaru,Cachoeira do Piriá,Cachoeira do Arari,Cametá,Canaã dos Carajás,Capanema,Capitão Poço,Castanhal,Chaves,Colares,Conceição do Araguaia,Concórdia do Pará,Cumaru do Norte,Curionópolis,Curralinho,Curuá,Curuçá,Dom Eliseu,Eldorado do Carajás,Faro,Floresta do Araguaia,Garrafão do Norte,Goianésia do Pará,Gurupá,Igarapé-Açu,Igarapé-Miri,Inhangapi,Ipixuna do Pará,Irituia,Itaituba,Itupiranga,Jacareacanga,Jacundá,Juruti,Limoeiro do Ajuru,Mãe do Rio,Magalhães Barata,Marabá,Maracanã,Marapanim,Marituba,Medicilândia,Melgaço,Mocajuba,Moju,Mojuí dos Campos,Monte Alegre,Muaná,Nova Esperança do Piriá,Nova Ipixuna,Nova Timboteua,Novo Progresso,Novo Repartimento,Óbidos,Oeiras do Pará,Oriximiná,Ourém,Ourilândia do Norte,Pacajá,Palestina do Pará,Paragominas,Parauapebas,Pau D'Arco,Peixe-Boi,Piçarra,Placas,Ponta de Pedras,Portel,Porto de Moz,Prainha,Primavera,Quatipuru,Redenção,Rio Maria,Rondon do Pará,Rurópolis,Salinópolis,Salvaterra,Santa Bárbara do Pará,Santa Cruz do Arari,Santa Izabel do Pará,Santa Luzia do Pará,Santa Maria das Barreiras,Santa Maria do Pará,Santana do Araguaia,Santarém,Santarém Novo,Santo Antônio do Tauá,São Caetano de Odivelas,São Domingos do Araguaia,São Domingos do Capim,São Félix do Xingu,São Francisco do Pará,São Geraldo do Araguaia,São João da Ponta,São João de Pirabas,São João do Araguaia,São Miguel do Guamá,São Sebastião da Boa Vista,Sapucaia,Senador José Porfírio,Soure,Tailândia,Terra Alta,Terra Santa,Tomé-Açu,Tracuateua,Trairão,Tucumã,Tucuruí,Ulianópolis,Uruará,Vigia,Viseu,Vitória do Xingu,Xinguara
Abaetetuba,0.0,362.4229955265205,62.4364451792558,261.9140272876067,586.365382758073,695.7252332034541,600.4262988850617,766.4532347461507,156.37856822716017,70.87743688341439,368.3110362073929,273.08552041938265,140.0927010502009,821.0144131251337,161.05008042254906,180.098209085896,668.8151849950207,37.7943830756971,71.94141411641795,697.8991280394778,80.28595967557483,369.8511478318958,179.80007652609004,243.05240654739137,456.6914200131004,448.1671354737636,229.2526908276033,205.4755402693472,88.8217322587578,272.6746384148244,95.72245170384592,91.03394569353406,538.7083877140634,206.8279073211368,186.58730312627736,123.05612773827242,216.59106003496916,111.31650899931438,720.8347147432847,102.3556015433174,791.6068232411318,506.94418827230095,123.89584273280138,692.5715487582886,157.77972713806665,294.2132894958884,484.1889025229988,993.885168263829,651.4782701658411,206.64531624100945,255.7705825415256,303.8300223776524,160.2171193891823,46.0886186699283,110.759255865493,160.35975456279544,165.09409227580366,961.9097570662282,391.9519753196472,1128.71308986307,320.65037908174133,821.3983695551922,66.82262535385857,155.02395751160194,172.38792693851292,451.4899240070491,184.9182402970592,163.91276394002077,72.72910759568121,504.71579661273614,247.2147943791333,114.27740346270188,108.14377319648936,649.6825477114164,612.4093992840291,63.07897073489902,232.3419416350759,363.5281748989404,177.58765250018357,1025.1445179639145,344.69005368448416,774.7711800219474,128.65237750778164,945.2373195680188,195.57636914098595,703.0057235465015,291.40984281367304,470.1409793649953,216.91165638243208,522.9410586764094,681.904483868678,191.0939619852697,535.1244268326769,668.4784496279561,71.47295994733622,248.3123224168043,410.3751484857274,532.6606467623646,213.0696107803712,229.0545814998084,719.7568034762365,633.844081871678,313.40253423598807,756.0298028942779,206.19761681254693,107.56002539418756,92.169071412212,136.22596408906728,93.0988199380584,217.57316170003108,783.8109154283748,156.4133050841846,870.0901603487607,713.9942572223417,194.7944815394897,105.24771165848784,135.4311959307719,437.0276329680673,124.69615049857448,716.8443921681574,139.10451306544732,496.04303506798936,139.88549005128314,212.935180143544,413.83537955047103,142.8043557547464,94.5328386304609,573.1310528095471,420.2542208908215,144.07024854529186,131.94488825688506,140.63535286046462,842.2645948568071,121.74760944025532,229.29771419400703,875.9953947845645,630.5839302821129,258.3395923937839,277.9993596085549,584.4781201956305,123.8273872807813,271.0784300753438,377.2452137096108,582.8203537548451
Abel Figueiredo,362.4229955265205,0.0,324.9073580038569,581.2013389504776,299.9485852699051,879.5950736841622,841.8190569378093,627.7657039868249,489.92844343767,402.91153534947694,336.2886790693002,478.35218820131496,312.8785326792758,853.8832602043577,347.24966399552187,247.53052509570392,372.4827737800061,385.2932679993672,413.28578645709234,754.487360668625,402.6098203551118,39.05884459415071,416.0548316594789,457.381527803037,507.518361105026,86.53423271352433,171.85396688827433,491.7554643857584,371.513398842921,396.63178211611023,457.3228898645924,324.0772912033548,245.72915645498196,448.351594938455,350.069698160067,414.65679110923327,569.6739834722416,447.4810324016971,378.2245176332125,345.6183593154197,496.8661330405539,193.9795391973018,413.3483650399336,819.0321118338207,472.7566929433895,103.68409062500288,153.4650482697887,1123.84745339216,314.9611495172502,344.3452783877626,121.84610819124568,547.69648237158,434.4931903042621,331.2685429882005,392.3402500081269,245.66280860774572,367.8203260420531,899.3162592335107,161.02186532678522,1019.5821955565306,92.84563219914531,903.108230010464,362.95124519538734,345.011603777713,469.4318707157808,191.50918765944647,472.4960764936733,464.9360147651142,396.01025609755055,565.5694102713289,476.6314033007188,288.84717014211896,262.85844838085234,713.7347702818493,787.1586447136164,412.34893122158695,331.5752665427757,89.34410386538589,437.90463518797486,865.7652947644896,210.8242876041847,965.2381336015264,339.9804128311846,1129.143833775673,410.4856754160205,437.7730900509616,282.7144130025008,108.02140881440972,215.2523702887678,264.3408470146612,361.63663106962025,444.323708605488,187.70025447876168,683.9808959766784,433.0721796732145,386.7745064541491,551.7195970241245,661.1223789567676,467.89910297670906,481.7070060669831,397.64779115591097,310.8997120654186,49.12646104125289,756.3518886147723,489.881843798584,463.20983072175954,418.8706973841908,496.2851297451458,400.76743967629,402.9107095925825,458.9588060891495,410.8088315246376,546.1490033493326,797.2398715084817,465.71718994085376,430.50219723933145,457.2032198473159,84.91806423847031,349.49618935285446,493.1273034074881,423.8591189652661,141.5890276053424,457.299619364251,483.0303794048931,62.26741976935317,389.3309926387636,415.8196307257266,244.5718248651089,381.4258006885656,502.3390428653481,230.50864233434189,444.3757937335059,952.1793525492872,258.691737617098,465.66630968146944,839.6833554630302,388.0474105741316,197.38332389144568,164.1155833096922,616.0913097760068,448.8430367545926,440.1258451438414,442.7471607436452,255.82784788811225
Acará,62.4364451792558,324.9073580038569,0.0,324.1105211674315,572.3414625275009,753.7351238005809,661.8106599008557,783.1693489439982,218.4805147924504,78.04332910857896,388.0019616428716,235.58399451217863,79.17848160277605,863.8159483510066,200.2575841632589,187.7888787702907,654.2301404527436,64.61790982854791,88.52713344151736,742.2537543637325,78.82515007306392,337.9500250740773,142.79411332624085,205.7177174151104,494.85898394233664,411.4407973026023,216.8248679684916,266.54730850930946,57.26720564109626,218.7846335810661,139.60536093760794,124.827847989217,522.1209057638525,174.7543601953547,130.91288838256497,103.9245694459496,273.4087946651166,123.21808376424455,694.3130054510158,51.46072980296858,778.9323901779263,485.3154121464813,182.28437746933463,745.1018524584995,156.09191523119753,245.89741230173863,458.023427292016,1048.7348305549233,626.4350830770192,149.13211752958463,231.09898291541933,362.9113258095956,136.50264210858256,79.98839727115717,83.53618381161954,101.49106226011229,115.14289965913004,992.9937084482198,378.72666136073593,1154.0774874900303,297.5404433810072,870.152377761924,119.0779101055424,99.98735990252275,161.29356641012143,437.5653817276692,169.95391929416317,154.36111806030735,71.66304837120232,545.8730500848578,302.99003068370587,131.7588874877026,103.04981321396772,694.28822056946,669.0167760744961,125.17886151443491,172.56968400807705,339.9307175945124,149.62607157847478,1041.4463360049465,343.3880088454055,833.6962757146633,167.85938045130465,1004.3086832810924,153.5982294161292,695.6034693208064,307.2513653861064,432.7816159535555,157.89415916256473,512.4608784961162,661.7352664662329,161.7420049210926,505.4057306231981,706.8972806169281,126.07202511218952,288.7490565617759,459.9211426288865,583.3273439959663,186.40545313188852,202.8760517369735,699.4939926162685,612.3872114978328,275.9875154480446,793.7075258384268,190.94303022752075,139.86970930823782,95.21587413036826,190.08419908159115,80.84978819461733,170.27702865949965,763.3240686828857,123.2127332923237,850.4354164329852,761.8506899199145,173.02662840246018,107.79979349198732,137.02968681754183,404.3240771915976,73.12091657808247,717.7677864577736,118.16105712987896,463.3957872425087,138.7351130927252,192.27776181028585,380.7084616200546,103.98760435678196,156.0682657022867,549.3356108575622,442.3633695037758,179.36469673571526,103.52051103483772,130.79351765880892,894.288850043778,68.68384315701904,197.52141973947548,910.0148698468272,626.2186118393271,255.9280261022363,222.07997029813268,623.4934349733359,127.1823159357582,224.989091344329,414.1932118089188,559.5817324400631
Afuá,261.9140272876067,581.2013389504776,324.1105211674315,0.0,724.6372560603196,481.1016049261749,357.4440838639208,775.7856334974429,105.65558972398486,286.3776493264479,420.13151950230525,478.28725032570577,398.8554399076008,699.1750699056189,242.325120467196,338.60842527189925,803.2854093901055,270.11538129033,274.4051541214654,575.2246170599149,297.57873411834805,575.6224899989619,400.6550793161641,452.53037531650057,401.0962388935545,659.6600078362953,414.2343357768247,96.0297811810106,330.3001519160811,513.3241681853768,216.33441039511436,259.10215420412186,688.785694638713,412.8994036010372,435.7606508495499,335.9134371132615,102.01272786188365,282.7375502909693,890.8258063224099,354.90102008234663,912.9283917502236,674.5608608517915,168.20715952510716,518.5638733492442,322.6721997593697,537.6240272406428,666.2626265226168,793.4757678698954,820.0768893001251,457.7335580502103,460.1398020485228,134.88355662691393,364.7737644814443,267.39527320975617,339.1073807476634,420.8404821902021,407.9010399448448,893.9480962866907,547.8288638556307,1081.4471978940535,511.7251356278818,664.8102985516128,226.3323690262168,405.6093467362474,348.9946017526219,601.945692570997,364.0935984863828,341.38887150046804,295.772740298082,423.1904966613861,155.321483208506,292.91162681215644,325.86039068738427,529.5939444834063,413.2623800883819,198.93441007900972,486.77138316534473,550.287591578962,383.7519126164141,1022.4023724448303,474.15938393546776,550.3926242968479,242.1508343971516,716.6221200412248,421.68299847661393,810.7961636405506,380.573530819666,681.9650690911163,476.81370046939287,655.3392856059328,833.7628175905761,395.9661905858874,723.5421613789814,581.8405652560822,206.47462318512467,257.3024102015587,294.41356885920703,386.0822545303392,406.9577514565861,417.8729360058596,870.0098846432637,792.3867874230325,535.8178214396735,666.2483527389103,378.09140268607774,240.48463504582736,294.07016270293514,161.00188584952733,313.6398777694615,449.8959352388245,931.9221636932622,377.09075582792826,1012.0884158471492,569.0070707693352,384.1295363389193,297.4568914290092,307.6034504383519,639.4535989162065,374.5874368983144,793.3618531045253,347.4319810087434,694.5693400458348,314.3875724449637,394.32823794582464,618.9384936095244,374.8099358624021,174.57741585062502,742.3827326431762,449.75222753257896,226.45305419058624,367.937764205726,330.35845294374303,664.3717285068843,379.87166377506986,429.85466002028375,797.7069187936729,732.871527700241,412.0229300301747,533.415830264242,503.5718568348464,300.80965025333234,495.2940745804957,348.2162495150353,749.8172007001176
Água Azul do Norte,586.365382758073,299.9485852699051,572.3414625275009,724.6372560603196,0.0,855.4281607154206,873.7735137095044,383.1068975707645,663.1885913681199,645.946995101176,323.36604540434774,765.8085310216691,587.2267934575092,708.3779041968653,490.01304915056426,413.1146082877549,82.46640284290089,619.3581761444002,652.7982520667132,643.4321935039417,649.6742648951638,265.5199212968931,692.0212481589316,741.7905403472763,460.6462688948761,249.18364811268265,357.73242612880773,628.864972114107,627.6701928963435,691.5854789536511,678.6593465774317,512.7629371950421,54.3311782731897,725.8977679773884,634.2363950778816,674.3649300905652,752.3922815000199,691.7116308605196,186.53371185909523,608.1856524732568,206.66523866218023,107.6104425024926,579.1250856490876,754.7608195984003,728.4333757301893,401.55285349002224,152.48973314753954,1028.8519140869255,127.72129854283055,632.7276290124665,343.62634447155614,637.6047285290002,701.7766905429507,543.1979282561703,652.4457492659797,521.3770026012762,645.9014122280308,677.9154403546673,194.51796476446663,761.9823071046903,278.4896123110942,790.3565771808263,556.1263160563823,622.329739794629,731.9407542514432,135.07186303866047,738.5123370446611,725.6857733972025,641.894716610281,505.13047233739496,579.2012040122615,478.6696606432439,478.8645950033754,616.6780357304386,768.6058312072081,615.0632180750422,624.7067073459081,239.37289442165795,709.5888803355505,589.07154414802,253.03637278892668,936.8148050680736,503.128382815766,1080.040792217544,690.9645561613179,138.20869544276042,344.188761371427,246.30898504040908,505.5448249140237,69.39240254982839,112.39771039528286,718.5094914203459,158.7626730465739,553.0191715706849,646.5049713436316,471.4708579277338,561.5889897424042,629.1368500452751,743.4451193432466,758.7404076781519,146.4003533345391,86.42828556801624,332.341975876979,599.3221431281966,758.2809527230357,693.8808396567041,665.7350716090502,699.302661380601,653.191089539161,688.8262905684734,207.30544924848996,681.4185648110905,288.80375502066056,700.7102085747632,736.5476310538534,678.945595454154,708.9975609313773,225.11504136054276,618.5082828168422,207.5570729736609,686.8105239094326,196.83585782324036,711.0114353577555,755.264508964489,241.77498651464245,659.3866152346794,599.447384942607,95.27855977664852,325.4381944766274,729.0915202506181,468.9437474289346,702.6165913675585,856.666652472463,518.6568510802041,745.731065558263,642.8572761457716,106.26263128273312,331.2561621665175,462.8726163464752,515.3672933114037,698.6548942221968,731.5587135366422,439.1527720422376,89.22194974687793
Alenquer,695.7252332034541,879.5950736841622,753.7351238005809,481.1016049261749,855.4281607154206,0.0,161.24445817234977,666.3784406177192,565.1202518210132,744.3925737997528,561.0080731649782,950.2070718773052,832.7495145758494,357.4316647552656,574.6121087506252,656.5159435750599,907.723856925914,718.9744546485432,734.8927939679535,287.6531329345262,756.3868217283828,854.591017920048,864.5575699361841,922.4094276077464,397.1290462393413,929.1209059269358,719.4368284130585,493.7746389001854,780.9838226463052,967.8718960458528,685.7498535899535,640.9749169590458,848.9591238439481,882.724200987297,882.3080477635469,799.7022941809486,581.8334341152298,753.1154132593698,1041.567699967949,798.0719766071456,970.2821208531768,867.1949877374068,572.0012573240083,138.2582774007293,797.9474360970523,887.6059366729622,884.6421420042132,313.7292694139822,981.2476672924934,902.0943875405384,770.7514692339247,392.2055733802367,833.0494768473156,676.5063251452692,796.940600513353,828.0436839503724,859.7857515469599,607.5396651121603,762.1924845179743,800.9664107020824,787.7001190553495,260.0499829553454,634.8401163133519,850.7441640745494,823.5353797790582,789.2811774815457,838.8483871735907,815.3327052524265,752.2243173383335,350.3575901773074,451.48776964266193,657.0669971971372,702.1406522928205,278.99396808140955,92.44917343185908,642.4905898208174,926.2717800788516,807.9378382110334,852.4171341553503,831.679676071817,684.294555947879,85.65228708675572,600.5738563593209,253.40925624936904,883.8540886753995,866.807631895544,597.5360538508564,947.6340944139304,875.3917165137501,797.0386048102782,962.1651417536532,865.5483300467052,939.5584259022507,370.1649897842592,665.3030180292907,503.5243940281245,327.9695591593443,227.8140438431316,880.0740190547604,892.5748289157839,988.2595673111848,941.4017118122129,850.3885256720718,404.8011824980938,854.7982810199057,712.9346171444117,757.6100238667135,636.5952215251026,772.863276154588,909.4073625929924,1034.826499983648,840.1520550059325,1090.317738901312,231.7561720299592,857.5035888515347,764.2447518899586,780.330291402859,897.7630257035054,820.3232005553037,799.2101071547484,813.5171277635932,934.2589269845048,787.160033561367,869.8449207012352,886.3653961193672,832.5289863033613,602.8786413426326,921.1379780405102,537.3172175490472,705.3184084703535,745.7782622945131,800.7318554272626,217.53627811886864,785.7892748446467,901.9107213082028,514.4879153924686,800.84116319953,683.2163554671864,910.9126233406756,358.41150770752523,771.8477300579702,960.0080938257088,441.8241851134368,923.0020830757936
Almeirim,600.4262988850617,841.8190569378093,661.8106599008557,357.4440838639208,873.7735137095044,161.24445817234977,0.0,752.8586610248456,454.3603673201661,638.5270454226956,556.4424603615073,835.6605092796015,740.4754641459285,498.717987950642,507.53048398410056,601.232413586462,936.6116466698757,617.4522981248728,627.5063888712591,405.318844186097,650.2195473632934,822.8009955059567,756.0657103103283,809.6155446725056,419.74982157574,903.1778322782268,672.4173214518526,395.2794579461506,679.5759650264024,866.0016644616134,572.3389972411062,562.7643959920193,857.3395316072011,769.895963563487,784.3328671878319,690.8955267384762,452.3419967931917,639.4383853751259,1059.3002914509316,700.7455562682301,1016.2354794978978,865.4595975117276,481.34495123324274,272.9517311716638,680.1143917949713,831.1805683380114,874.8589175955852,463.680763614024,993.8686056922276,805.4975040504971,724.4279900902516,305.11722693746225,721.2872809839703,590.327502796031,691.775272776858,747.4786760017053,758.6481845272862,742.9697894521504,748.4238413850204,938.9747133882606,754.2004970537739,414.07765940686176,546.8458459332812,753.1567195016182,706.4370180093778,785.9539803468322,721.536925992313,698.8064403554727,647.3273867408803,390.81819619342485,374.783692027361,586.0096338108635,629.2443210338679,380.660686838194,159.49319259688136,541.3560400929443,832.4823953629644,781.6565607415773,740.4264663963467,947.456743046848,667.2734807206058,204.40399958836653,527.3647382778412,362.0914360235976,776.6337134432328,909.8217161092498,571.0676959280934,923.5809382147484,799.4961370380474,809.2637776297323,985.0146861619186,752.8751649747292,932.4453238839384,469.03398849040246,557.7465575055743,455.0551217634729,312.6677290636611,268.64580264345847,764.3682670383021,775.3049589000799,1015.194460979804,956.8243395587776,805.8274186859201,524.0577645081449,735.3351501649114,597.4857335330789,648.6289935625344,518.294448890596,666.6382570041279,804.0728743133452,1068.0005094183437,732.0887756707801,1132.7352787074203,361.8764668310966,741.541434739398,653.1981862004181,664.852548715546,874.7121452494613,722.0303516024343,855.5227535378897,703.2491695268129,918.8537868108116,671.656456749656,751.7209888760107,859.7468215631658,727.7620906152222,505.9312269019815,926.0050400105976,548.4203876045439,583.4539398336527,674.2017073014343,687.2414092136265,378.3206438626958,704.6693331676563,787.1991644438864,646.0711256340497,837.3529800655945,645.5713857445302,844.3953930400551,430.2154924116495,657.7353558696207,851.3334055817248,436.01837520457946,929.7936252379718
Altamira,766.4532347461507,627.7657039868249,783.1693489439982,775.7856334974429,383.1068975707645,666.3784406177192,752.8586610248456,0.0,765.2062511919411,837.0477160468673,398.1727132615268,1013.8540717003142,830.7502877944424,392.2728128539213,614.6528603662993,595.4228260478282,375.7806959451266,804.2439720950994,838.1035695058372,386.3423435176361,845.3955605181565,588.7068852910801,924.4505887952126,985.1336888191169,379.2751630826632,608.8408587992883,586.2927145769366,697.517287564685,839.2651596928673,964.907011202111,835.9520277434656,675.6812420640678,420.0292473468709,957.4341599667472,887.8061877051575,883.6322638982197,846.641229745382,876.640266937166,517.9318109083123,831.7193164364725,366.6658265842232,471.87235215803406,695.7574889319828,533.6139605518664,924.2309510041724,710.5673716670999,515.072113768333,734.7116956978925,490.1651095495707,894.7087408734955,605.645818250256,647.3678664213155,918.7743969741156,721.0451083130835,865.5419994715337,777.4274705245715,887.3816921864775,296.52882370538487,469.8051898079661,391.8284232399118,561.4637181344908,501.48251592700433,709.9305895974538,865.5354090648689,937.6767195186357,438.3523974301818,949.0126297978612,929.4941979733308,837.4259329948121,377.68499409163206,624.0926912842539,654.950859269483,680.5819568726214,387.3955774945234,603.9893070259055,763.632563413048,898.2476983984296,541.612961179824,932.7575315594364,258.70434129389514,456.8631814874076,729.8564282659022,643.3574643832164,832.4592306720576,931.5276637163392,294.4206949605544,476.4686214693172,612.9644784389095,786.0007820292675,377.2608896720329,437.8799357172137,944.8940902688678,538.5990878820804,296.5975006620186,800.557585522502,543.6815021231901,500.81049412417326,486.11673146161576,969.5577085045436,986.0325442401348,443.2837237372959,450.73405638749057,639.2749432977831,289.4954046385934,970.4440700420342,860.3743474227534,858.4687800394216,829.5458702591287,855.5066437179503,940.1682213052184,460.5023271576341,906.2585470008124,482.1826030903475,449.0276348603092,955.2069910145826,871.6699113278869,901.8454836985736,577.5039613104025,849.5262447500436,198.6028683935156,899.1065994138166,568.8347902219256,906.3306068674232,974.2964911396735,585.4618631005814,886.2135928795872,730.1794567322178,478.3853124575377,347.93432497039066,884.414848631596,695.659413373775,905.730627112255,579.2580986655881,755.6740510604852,980.0051614071856,278.5040790316574,278.08670828929866,536.8280590614461,767.947222660729,322.8691162730683,890.2216241819531,991.979867195915,428.64482672982166,471.9491602684263
Anajás,156.37856822716017,489.92844343767,218.4805147924504,105.65558972398486,663.1885913681199,565.1202518210132,454.3603673201661,765.2062511919411,0.0,184.2513609962341,382.6283413541957,385.2479328707724,293.4142048633392,743.1284278345667,173.64480183170795,257.70430378365364,744.223106268247,165.35927905882812,173.1484207171622,617.8007581351148,195.887130631458,488.4880669701751,302.1148323497813,357.8455355714215,408.338474748936,571.5722354525119,329.7569287062934,81.00716768085441,226.52807688888856,411.854545943739,120.6304307529424,166.17866438634252,622.5192722192068,318.0684719589476,331.97443723115754,236.8767860839259,89.43072286083985,188.0273203531077,819.3873637461614,250.05108497200015,859.923637318547,601.8134558187492,84.15279432272425,583.815868702113,233.3990314071758,438.24929969749815,588.3285445144561,872.9190240273873,748.5816993408993,353.7028693736905,371.3281550460408,180.6410748078446,268.65243871441686,165.53291753231073,237.47711023890255,315.90731436622383,305.06452178031594,916.7933583692488,476.8783986826156,1097.1368305750486,428.217083935477,723.8153663298931,127.63985008082706,301.38679050304563,258.64031678810704,534.0684741424368,273.95725759949534,250.340262391176,193.2067337263157,443.183601324025,153.82645593096882,202.17137840808087,228.8079447976624,570.1586613115949,489.0376087177678,93.33009766956788,382.2049244760324,468.9658474653944,287.98114724703635,1019.3737667981862,410.1698119616614,639.4752101445937,161.56470137390886,808.3019798795958,322.4403029506002,761.8874353895812,326.2942806812649,593.9603833889156,372.1377335356401,594.9639619353458,768.5497419824296,300.9040694542244,644.0287403318587,608.483137522614,103.46151124792875,222.64327670305937,324.7004675808071,435.5629086954775,314.9539671995121,327.5586029907304,805.7224490686066,724.3054127060136,442.8709847817133,695.7315963119689,290.59529858587035,148.06974050259723,194.5437047788969,76.93078851703703,212.2862728568254,349.718558712878,868.9398917335393,277.9812652671653,951.982421626118,621.5906676625779,292.3931407675991,199.9480416365495,215.2529150973473,554.2203373853813,270.24711867753865,756.2762176073421,249.7854037335385,611.2434658081635,222.07584223344463,305.06625563195746,532.5727231805093,273.45155785766025,74.37787499654495,669.8858651412643,422.69661742922585,146.69247770071675,268.4238262858343,235.7443282792964,732.9546673136267,275.49517504635384,336.87238887245246,823.9488533201517,685.0069657402362,337.18576346925795,430.2991257308469,525.8558238927483,206.74280498410323,397.6319194558767,340.4197813135414,678.213731915448
Ananindeua,70.87743688341439,402.91153534947694,78.04332910857896,286.3776493264479,645.946995101176,744.3925737997528,638.5270454226956,837.0477160468673,184.2513609962341,0.0,438.9782408237618,210.122440581132,123.63466260832294,886.6586014377366,230.84074928707213,247.45154263816164,728.155951963466,33.33573669622327,13.410527438836109,762.7965821324732,12.013298530429417,415.8105387566866,120.34310838784248,180.76912733595248,525.1873111882478,489.4456231307034,288.47805472668483,250.65384986588,46.58452214928417,227.6151274612073,75.37912427404824,161.90161189027836,596.6461825996206,142.31084109122975,150.13638942105112,56.782906579118,217.0181969331105,45.93407590569187,771.707449112905,75.98438064633376,852.1831009118393,561.4204817654353,180.4967181904796,750.2044330145978,87.52933959247781,321.7318178147427,535.1804899303958,1047.6504600904657,703.5124288246777,172.4074580282512,307.32955671071835,353.0401869156789,93.28665831108452,116.02173644259756,53.25011203403528,171.50889710404982,121.54720408716344,1031.8588319515204,451.6058066326361,1199.43680812652,373.63850316730577,882.6935347822517,134.29892526251223,121.25559574705338,101.58509203481618,510.8947104345387,114.45081167841084,93.06081588358096,9.99414205035738,571.8410085396632,303.91293735161975,183.22521675306325,168.5702510149291,714.5201098742266,664.2615632112321,102.93328862347686,202.5747391004431,416.2896117640536,111.96839130249896,1095.7507090724027,410.0016699145316,820.9496508960273,198.8208097486261,990.5780735938908,139.4888424190382,766.3134323312923,361.4506609759573,510.7412469489897,225.22259999558943,584.4289213120206,737.607220090614,125.62367322541937,583.1631539586747,736.4671183274545,80.79459238252855,316.93156204336606,472.37827224712566,592.945996296549,145.53277917661958,160.97004245744728,775.4226196732808,688.5867993593072,354.01838560000886,824.1981528437457,135.59502707913168,65.74334340970056,21.45127736995758,132.9150781498298,28.473327633316845,165.83926555183774,839.3600567465681,95.91783317990247,926.2738579381404,776.2908160535768,125.81980230255324,34.861143131802514,65.60391277731883,482.2928079483669,91.36634323101656,783.7070472386032,72.19915865387061,541.3836769006804,69.48549198628244,143.30866487653466,458.6909234724132,89.23937293941977,144.57701191409276,626.0757464063076,491.10029189678687,104.54585752473552,179.33758368438183,69.99611156770172,900.1334833119452,145.35283569759036,163.8679999544503,945.2725420841396,695.2292693003409,322.7252783430727,292.50090383571103,652.3639825639924,54.26136059385391,215.6238937246096,446.372275579776,636.1976278291881
