Municipality,Area_ha,Cost
Pacajá,46671.68810350971,97970000.0
São Félix do Xingu,42977.71967334335,97970000.0
Itaituba,42829.47484268919,97970000.00000001
Altamira,40589.36932647402,97969999.99999999
Novo Progresso,40517.240773078825,89388108.43930642
Novo Repartimento,200.0,421456.89017341036
Portel,200.0,455069.02890173404
Marabá,200.0,417143.59537572257
Uruará,200.0,423929.1445086705
Anapu,200.0,435396.1965317919
Itupiranga,200.0,418563.82658959535
Senador José Porfírio,200.0,450755.73410404625
Paragominas,200.0,420825.676300578
Placas,200.0,424244.7514450866
Moju,200.0,415723.3641618498
Jacareacanga,200.0,497833.76878612716
Rondon do Pará,200.0,418826.83236994216
Rurópolis,200.0,424086.9479768786
Trairão,200.0,429557.46820809244
Medicilândia,200.0,438552.26589595375
Santa Maria das Barreiras,200.0,418090.4161849712
Mojuí dos Campos,200.0,417774.8092485549
Dom Eliseu,200.0,416670.1849710983
Santana do Araguaia,200.0,420404.8670520231
Goianésia do Pará,200.0,416985.79190751445
