Municipality,Area_ha,Cost
Oriximiná,38129.73799476274,97970000.0
Belterra,46989.61063005681,97970000.0
Parauapebas,46185.603789458335,97970000.0
Vitória do Xingu,47362.674100523334,97527058.44133145
Belém,18564.473526423582,38002519.27990665
Sapucaia,12535.983679794086,25952001.384766392
Santarém,7632.056279379019,16466303.034902757
Salinópolis,5058.676171626093,10443204.48337075
Óbidos,199.99999999995998,537126.8323698347
Almeirim,199.99999999997817,508827.4104045687
Altamira,199.99999999999454,482737.23699420644
Porto de Moz,199.99999999997817,469113.5375722032
São Félix do Xingu,199.99999999999272,455910.64739882736
Terra Santa,199.99999999997817,455489.8381502393
Novo Progresso,199.99999999999454,441234.9248554793
Afuá,200.0,432082.32369942195
Trairão,199.9999999999891,429557.468208069
Santana do Araguaia,199.9999999999818,420404.8670519849
Viseu,200.0,419510.64739884395
Rondon do Pará,200.0,418826.83236994216
Santa Maria das Barreiras,199.9999999999891,418090.4161849484
Igarapé-Miri,200.0,415512.9595375723
Ulianópolis,199.99999999997817,415355.1560693188
Palestina do Pará,199.99999999997817,414776.54335255583
Tucuruí,199.99999999997817,414355.734104001
