Municipality,Area_ha,Cost
Altamira,65460.04,158000000.0
Itaituba,69072.75,158000000.0
Santarém,73232.28,158000000.0
Belterra,64015.55,133467866.46
São Félix do Xingu,47064.54,107286130.13
Belém,18564.47,38002519.28
Oriximiná,10803.12,27757374.84
Anapu,860.35,1872969.91
Faro,200.0,553854.0
Alenquer,200.0,534338.97
Almeirim,200.0,508827.41
Jacareacanga,200.0,497833.77
Gurupá,200.0,458908.91
Novo Progresso,200.0,441234.92
Afuá,200.0,432082.32
Brasil Novo,200.0,430556.89
Parauapebas,200.0,424244.75
Santana do Araguaia,200.0,420404.87
Viseu,200.0,419510.65
Cametá,200.0,419405.45
Ulianópolis,200.0,415355.16
Conceição do Araguaia,200.0,415249.95
Palestina do Pará,200.0,414776.54
Tucuruí,200.0,414355.73
Maracanã,200.0,412199.09
