Municipality,Area_ha,Cost
Belterra,21235.26,44274000.0
Altamira,18342.9,44274000.0
Belém,18564.47,38002519.28
São Félix do Xingu,16632.93,37915647.16
Anapu,8252.97,17966558.99
Oriximiná,6970.77,17910602.63
Itaituba,5747.45,13146959.77
Alenquer,200.0,534338.97
Almeirim,200.0,508827.41
Porto de Moz,200.0,469113.54
Melgaço,200.0,467640.71
Terra Santa,200.0,455489.84
Novo Progresso,200.0,441234.92
Afuá,200.0,432082.32
Santana do Araguaia,200.0,420404.87
Viseu,200.0,419510.65
Tailândia,200.0,417432.9
Marabá,200.0,417143.6
Ulianópolis,200.0,415355.16
Conceição do Araguaia,200.0,415249.95
Tucuruí,200.0,414355.73
São Geraldo do Araguaia,200.0,414145.33
Salinópolis,200.0,412882.9
Brejo Grande do Araguaia,200.0,412672.5
Vitória do Xingu,200.0,411830.88
