Municipality,Area_ha,Cost
Belterra,46989.61,97970000.0
Altamira,40589.37,97970000.0
Itaituba,42829.47,97970000.0
Santarém,41853.16,90298977.07
São Félix do Xingu,22968.89,52358803.35
Belém,18564.47,38002519.28
Anapu,3015.47,6564630.22
Afuá,462.92,1000094.85
Faro,200.0,553854.0
Alenquer,200.0,534338.97
Oriximiná,200.0,513877.12
Almeirim,200.0,508827.41
Jacareacanga,200.0,497833.77
Gurupá,200.0,458908.91
Novo Progresso,200.0,441234.92
Brasil Novo,200.0,430556.89
Trairão,200.0,429557.47
Novo Repartimento,200.0,421456.89
Santana do Araguaia,200.0,420404.87
Tucumã,200.0,419826.25
Viseu,200.0,419510.65
Cametá,200.0,419405.45
Ulianópolis,200.0,415355.16
Conceição do Araguaia,200.0,415249.95
Palestina do Pará,200.0,414776.54
