Municipality,Area_ha,Cost
Belterra,46989.61063005681,97970000.0
Goianésia do Pará,46989.61063005681,97970000.0
Anapu,45002.689862885105,97970000.00000001
Prainha,43388.2082947132,97970000.0
Maracanã,16613.921197690357,34241215.72140084
Rondon do Pará,15802.868311573968,33093326.386479307
Terra Alta,11300.938918118136,23163378.37766897
Santa Maria do Pará,200.0,410095.0404624277
Salinópolis,200.0,412882.90173410403
Sapucaia,200.0,414040.12716763007
Cachoeira do Arari,200.0,427506.02312138723
Curralinho,200.0,443917.5838150289
Concórdia do Pará,200.0,413145.90751445084
Baião,200.0,415670.76300578035
Colares,200.0,411725.676300578
São João de Pirabas,200.0,412462.09248554916
São Caetano de Odivelas,200.0,411410.0693641619
Bujaru,200.0,411936.0809248555
Ourém,200.0,412356.89017341036
Castanhal,200.0,409095.6184971098
Bonito,200.0,411462.67052023124
Pau D'Arco,200.0,412830.3005780347
Inhangapi,200.0,410042.4393063584
Bragança,200.0,411673.0751445087
Tucumã,200.0,419826.2543352601
