Municipality,Area_ha,Cost
Santa Bárbara do Pará,5831.709583537848,11940904.381502891
Santa Maria do Pará,200.0,410095.0404624277
Terra Alta,200.0,409937.2369942196
Augusto Corrêa,200.0,414171.6300578034
Oriximiná,200.0,513877.1213872833
Terra Santa,200.0,455489.838150289
Salinópolis,200.0,412882.90173410403
Belterra,200.0,416985.79190751445
Capanema,200.0,410305.4450867052
Igarapé-Açu,200.0,410095.0404624277
Curuá,200.0,440445.90751445084
Nova Timboteua,200.0,410726.2543352601
Santarém Novo,200.0,412251.68786127167
Faro,200.0,553854.0
Peixe-Boi,200.0,411147.063583815
Maracanã,200.0,412199.08670520247
Primavera,200.0,411725.676300578
São João de Pirabas,200.0,412462.09248554916
São João da Ponta,200.0,411778.27745664737
Marapanim,200.0,411725.676300578
Magalhães Barata,200.0,411830.8786127168
Castanhal,200.0,409095.6184971098
Vitória do Xingu,200.0,411830.8786127168
Curuçá,200.0,411252.26589595375
Afuá,200.0,432082.32369942195
