Municipality,Area_ha,Cost
Palestina do Pará,47239.89414064614,97970000.0
Conceição do Araguaia,47186.03776523372,97970000.0
Ulianópolis,47174.08635401124,97970000.0
Itupiranga,46812.45429078143,97970000.0
Santana do Araguaia,30608.361048733703,64339519.78686608
Mocajuba,11954.453428963148,24864448.43278712
Augusto Corrêa,200.0,414171.6300578034
Alenquer,200.0,534338.971098266
Uruará,200.0,423929.1445086705
Novo Progresso,200.0,441234.9248554913
Oriximiná,200.0,513877.1213872833
Soure,200.0,433607.7572254334
Chaves,200.0,443102.26589595375
Faro,200.0,553854.0
Anapu,200.0,435396.1965317919
Prainha,200.0,451597.35260115605
São Félix do Xingu,200.0,455910.64739884395
Gurupá,200.0,458908.91329479765
Juruti,200.0,445337.8150289017
Altamira,200.0,482737.2369942196
Nova Esperança do Piriá,200.0,421982.90173410403
Jacareacanga,200.0,497833.76878612716
Trairão,200.0,429557.46820809244
Tucumã,200.0,419826.2543352601
Almeirim,200.0,508827.41040462424
