Municipality,Area_ha,Cost
Pacajá,46671.68810350971,97970000.0
São Félix do Xingu,42977.71967334335,97970000.0
Itaituba,42829.47484268919,97970000.00000001
Altamira,40589.36932647403,97970000.00000001
Novo Progresso,40547.02030331529,89453807.28323701
Novo Repartimento,200.0,421456.89017341036
Uruará,200.0,423929.1445086705
Portel,200.0,455069.02890173404
Cumaru do Norte,200.0,432134.9248554913
Anapu,200.0,435396.1965317919
Placas,200.0,424244.7514450866
Goianésia do Pará,200.0,416985.79190751445
Rurópolis,200.0,424086.9479768786
Medicilândia,200.0,438552.26589595375
Rondon do Pará,200.0,418826.83236994216
Santana do Araguaia,200.0,420404.8670520231
Itupiranga,200.0,418563.82658959535
Paragominas,200.0,420825.676300578
Marabá,200.0,417143.59537572257
Dom Eliseu,200.0,416670.1849710983
Trairão,200.0,429557.46820809244
Moju,200.0,415723.3641618498
Senador José Porfírio,200.0,450755.73410404625
Mojuí dos Campos,200.0,417774.8092485549
Santa Maria das Barreiras,200.0,418090.4161849712
